sourceTaxonName;sourceLifeStageName;sourcePhysiologicalStateId;interactionTypeName;targetTaxonName;targetLifeStageName;targetPhysiologicalStateName;habitatName;localityName;decimalLatitude;decimalLongitude;depth;altitude;observationDateTime;referenceDoi;referenceUrl;referenceCitation
Leptoconchus incycloseris;;;parasite of;Fungia (Cycloseris) costulata;;;;;;;;;;10.1007/s13127-011-0039-1;;Gittenberger, A., Gittenberger, E. (2011). Cryptic, adaptive radiation of endoparasitic snails: sibling species of Leptoconchus (Gastropoda: Coralliophilidae) in corals. Org Divers Evol, 11(1), 21–41. doi:10.1007/s13127-011-0039-1
Leptoconchus infungites;;;parasite of;Fungia (Fungia) fungites;;;;;;;;;;10.1007/s13127-011-0039-1;;Gittenberger, A., Gittenberger, E. (2011). Cryptic, adaptive radiation of endoparasitic snails: sibling species of Leptoconchus (Gastropoda: Coralliophilidae) in corals. Org Divers Evol, 11(1), 21–41. doi:10.1007/s13127-011-0039-1
Leptoconchus ingrandifungi;;;parasite of;Sandalolitha dentata;;;;;;;;;;10.1007/s13127-011-0039-1;;Gittenberger, A., Gittenberger, E. (2011). Cryptic, adaptive radiation of endoparasitic snails: sibling species of Leptoconchus (Gastropoda: Coralliophilidae) in corals. Org Divers Evol, 11(1), 21–41. doi:10.1007/s13127-011-0039-1
Leptoconchus ingranulosa;;;parasite of;Fungia (Wellsofungia) granulosa;;;;;;;;;;10.1007/s13127-011-0039-1;;Gittenberger, A., Gittenberger, E. (2011). Cryptic, adaptive radiation of endoparasitic snails: sibling species of Leptoconchus (Gastropoda: Coralliophilidae) in corals. Org Divers Evol, 11(1), 21–41. doi:10.1007/s13127-011-0039-1
Leptoconchus inlimax;;;parasite of;Herpolitha limax;;;;;;;;;;10.1007/s13127-011-0039-1;;Gittenberger, A., Gittenberger, E. (2011). Cryptic, adaptive radiation of endoparasitic snails: sibling species of Leptoconchus (Gastropoda: Coralliophilidae) in corals. Org Divers Evol, 11(1), 21–41. doi:10.1007/s13127-011-0039-1
Leptoconchus inpileus;;;parasite of;Halomitra pileus;;;;;;;;;;10.1007/s13127-011-0039-1;;Gittenberger, A., Gittenberger, E. (2011). Cryptic, adaptive radiation of endoparasitic snails: sibling species of Leptoconchus (Gastropoda: Coralliophilidae) in corals. Org Divers Evol, 11(1), 21–41. doi:10.1007/s13127-011-0039-1
Leptoconchus inpleuractis;;;parasite of;Fungia (Pleuractis) gravis;;;;;;;;;;10.1007/s13127-011-0039-1;;Gittenberger, A., Gittenberger, E. (2011). Cryptic, adaptive radiation of endoparasitic snails: sibling species of Leptoconchus (Gastropoda: Coralliophilidae) in corals. Org Divers Evol, 11(1), 21–41. doi:10.1007/s13127-011-0039-1
Leptoconchus inpleuractis;;;parasite of;Fungia (Pleuractis) moluccensis;;;;;;;;;;10.1007/s13127-011-0039-1;;Gittenberger, A., Gittenberger, E. (2011). Cryptic, adaptive radiation of endoparasitic snails: sibling species of Leptoconchus (Gastropoda: Coralliophilidae) in corals. Org Divers Evol, 11(1), 21–41. doi:10.1007/s13127-011-0039-1
Leptoconchus inpleuractis;;;parasite of;Fungia (Pleuractis) paumotensis;;;;;;;;;;10.1007/s13127-011-0039-1;;Gittenberger, A., Gittenberger, E. (2011). Cryptic, adaptive radiation of endoparasitic snails: sibling species of Leptoconchus (Gastropoda: Coralliophilidae) in corals. Org Divers Evol, 11(1), 21–41. doi:10.1007/s13127-011-0039-1
Leptoconchus massini;;;parasite of;Fungia (Verrillofungia) concinna;;;;;;;;;;10.1007/s13127-011-0039-1;;Gittenberger, A., Gittenberger, E. (2011). Cryptic, adaptive radiation of endoparasitic snails: sibling species of Leptoconchus (Gastropoda: Coralliophilidae) in corals. Org Divers Evol, 11(1), 21–41. doi:10.1007/s13127-011-0039-1
Leptoconchus massini;;;parasite of;Fungia (Verrillofungia) repanda;;;;;;;;;;10.1007/s13127-011-0039-1;;Gittenberger, A., Gittenberger, E. (2011). Cryptic, adaptive radiation of endoparasitic snails: sibling species of Leptoconchus (Gastropoda: Coralliophilidae) in corals. Org Divers Evol, 11(1), 21–41. doi:10.1007/s13127-011-0039-1
Apis mellifera;;;nectar sourced from;Acacia sp ;;;;Kenya-Baringo;;;;;;;http://erepository.uonbi.ac.ke/bitstream/handle/11295/104615/Warui_Analysis%20Of%20Quality%20And%20Origin%20Attributes%20Of%20Kenyan%20Honey%20For%20Geographical%20Indication%20Labelling%20In%20West%20Pokot%2c%20Baringo%20And%20Kitui%20Counties.pdf?sequence=1&isAllowed=y;Warui MW (2018) Analysis of quality and origin attributes of Kenyan honey for geographical indication labelling in west Pokot, Baringo and Kitui counties. PhD Thesis University of Nairobi. http://erepository.uonbi.ac.ke/bitstream/handle/11295/104615/Warui_Analysis%20Of%20Quality%20And%20Origin%20Attributes%20Of%20Kenyan%20Honey%20For%20Geographical%20Indication%20Labelling%20In%20West%20Pokot%2c%20Baringo%20And%20Kitui%20Counties.pdf?sequence=1&isAllowed=y
Apis mellifera;;;Honey production;Acacia sp ;;;;Kenya-West Pokot;;;;;;;http://erepository.uonbi.ac.ke/bitstream/handle/11295/104615/Warui_Analysis%20Of%20Quality%20And%20Origin%20Attributes%20Of%20Kenyan%20Honey%20For%20Geographical%20Indication%20Labelling%20In%20West%20Pokot%2c%20Baringo%20And%20Kitui%20Counties.pdf?sequence=1&isAllowed=y;Warui MW (2018) Analysis of quality and origin attributes of Kenyan honey for geographical indication labelling in west Pokot, Baringo and Kitui counties. PhD Thesis University of Nairobi. http://erepository.uonbi.ac.ke/bitstream/handle/11295/104615/Warui_Analysis%20Of%20Quality%20And%20Origin%20Attributes%20Of%20Kenyan%20Honey%20For%20Geographical%20Indication%20Labelling%20In%20West%20Pokot%2c%20Baringo%20And%20Kitui%20Counties.pdf?sequence=1&isAllowed=y
