Title,Author,Affiliation main author,Country,Open Access?,Peer-reviewed?,Data published?,URI,Notes
Pollinator-flower interactions in gardens during the COVID-19 pandemic lockdown of 2020,Ollerton et al.,,Global,Yes,Yes,Yes,https://www.pollinationecology.org/index.php/jpe/article/view/695,Contains data on crops such as apples and beans grown in home gardens; related GloBI issue https://github.com/globalbioticinteractions/globalbioticinteractions/issues/816
,,,,,,,,
Data standardization of plant–pollinator interactions,Salim J A et al.,University of Sao Paulo,Brazil(?),Yes,Yes,No,https://academic.oup.com/gigascience/article/doi/10.1093/gigascience/giac043/6593428,
,,,,,,,,
DOPI: The Database of Pollinator Interactions,"Balfour, Goulson, Castellanos",,UK,Yes,No,Yes,https://www.dopi.org.uk/about,related GloBI issue - https://github.com/globalbioticinteractions/globalbioticinteractions/issues/780
,,,,,,,,
Who is Pollinating Crops Worldwide? A Global Database of Crop Pollinators has the Answer,Allen-Perkins et al.,,Global,Yes,Yes,Yes,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/bes2.1966,related GloBI issue https://github.com/globalbioticinteractions/globalbioticinteractions/issues/840
,,,,,,,,
Brazilian Network of Plant-Pollinator Interactions,"Agostini, Wolowski & Saraiva",Universidade Federal de São Carlos,Brazil,?,Yes,No,https://www.rebipp.org.br/en/,Not sure if data is available
,,,,,,,,
Interaction Web Database,Guimaraes & Raimundo ,University of Sao Paulo,Global,Yes,Yes,Yes,http://www.ecologia.ib.usp.br/iwdb/index.html,
,,,,,,,,
Cactus-pollinator database,Gorostiague et al.,"Universidad Nacional de Salta-CONICET, Salta, Argentina",Americas,"No for paper, yes for the data",Yes,Yes,https://onlinelibrary.wiley.com/doi/abs/10.1111/plb.13450,Some cacti are cultivated as fruit crops. Data are in the Suppl. Inf. ; related GloBI issue https://github.com/globalbioticinteractions/globalbioticinteractions/issues/841
,,,,,,,,
Status and trends of pollination services in Amazon agroforestry systems,Sabino et al.,"Instituto Tecnológico Vale, Rua Boaventura de Silva 955, Belém, Pará 66055090, Brazil",Brazil,Yes,Yes,Yes,https://www.sciencedirect.com/science/article/pii/S016788092200161X?via%3Dihub#sec0100,
,,,,,,,,
USDA PLANTS Database,"USDA, NRCS",USDA,USA,Yes,Yes,Yes,https://plants.usda.gov/home/help,
,,,,,,,,
https://carolyncoyle.wixsite.com/sapproject,,,,,,,,
